longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,,predicted
-118.43,34.01,41,1527,279,746,285,6.4232,446600,<1H OCEAN,,445279.32
-122.71,38.5,15,5645,830,2324,769,6.6104,330900,<1H OCEAN,,324346.01
-121.83,36.6,30,2748,502,1491,535,4.3472,185000,<1H OCEAN,,226031
-120.82,35.31,16,3924,699,1325,638,2.5172,293900,NEAR OCEAN,,218472.01
-120.06,36.95,24,646,134,454,149,2.125,61900,INLAND,,76169.98
-122.14,37.68,31,3184,716,1561,628,2.7955,183100,NEAR BAY,,170769
-116.46,33.78,25,1137,414,604,240,1.3801,55000,INLAND,,80072
-121.09,38.19,23,762,140,358,141,2.4545,105000,INLAND,,120628
-121.32,38.57,15,3369,499,1733,470,5.31,127500,INLAND,,181762
-120.99,37.66,30,1718,395,914,400,1.933,107000,INLAND,,90288
-122.22,37.79,37,2343,574,1608,523,2.1494,132500,NEAR BAY,,126865
-122.47,37.78,52,2169,522,1220,505,3.1989,446900,NEAR BAY,,426353.07
-117.91,33.61,40,2790,531,952,424,4.8,500001,<1H OCEAN,,434850.45
-121.53,39.06,20,561,109,308,114,3.3021,70800,INLAND,,117552
-117.04,32.83,8,2205,348,777,341,6.0266,177400,<1H OCEAN,,284221.06
-118.13,34.11,52,2568,345,1102,345,9.1373,500001,<1H OCEAN,,489236.83
-122.32,38.06,4,7999,1611,3596,1396,5.0969,174200,NEAR BAY,,196721
-121.73,37.68,17,20354,3493,8768,3293,5.4496,238900,INLAND,,227287
-118.98,35.4,36,1864,331,1052,325,3.4205,76600,INLAND,,82515
-121.9,37.25,28,2714,502,1389,490,5.7385,240400,<1H OCEAN,,299056.02
-121.3,38.69,13,2135,429,779,432,3.6995,134900,INLAND,,127964
-115.64,32.75,19,377,69,198,55,1.625,112500,INLAND,,73477
-117.89,33.76,34,1050,210,723,201,4.8,192700,<1H OCEAN,,191537
-118.36,33.92,46,1231,231,793,256,4.1023,226800,<1H OCEAN,,210404
-117.06,32.58,11,2879,679,2098,673,3.5125,142400,NEAR OCEAN,,137053
-115.49,32.67,25,2322,573,2185,602,1.375,70100,INLAND,,69027
-117.31,34.09,34,1336,345,1009,311,1.608,73700,INLAND,,72227
-121.03,39.21,28,2843,535,1310,525,3.2337,123100,INLAND,,159041
-117.05,32.72,35,1777,369,1158,353,3.4107,117000,NEAR OCEAN,,130150
-117.95,33.92,18,2825,660,1590,643,3.6106,153600,<1H OCEAN,,185560
-119.01,35.31,19,7092,1517,4101,1436,2.1006,74800,INLAND,,75361
-119.17,34.27,18,8010,1539,3982,1483,4.0905,236500,NEAR OCEAN,,229598.01
-118.07,34.14,42,3200,685,1668,628,3.375,260400,INLAND,,236573
-122.23,38.1,46,4143,895,2240,847,2.4201,92800,NEAR BAY,,118753
-117.75,34.06,52,62,9,44,16,0.4999,112500,INLAND,,327681.35
-118.27,33.81,42,865,208,811,218,3.8621,165300,<1H OCEAN,,172426
-121.32,38,21,1795,482,1114,472,2.0091,101500,INLAND,,100804
-118.99,36.06,19,2153,458,1317,386,1.7564,42600,INLAND,,57944
-122.37,40.54,28,2213,390,1096,378,3.6923,86900,INLAND,,104627
-120.39,37.98,52,1056,274,584,255,2.1513,86700,INLAND,,102023
-118.33,34.11,48,1601,464,784,461,3.0642,342900,<1H OCEAN,,310525.05
-118.08,33.89,37,1152,259,981,225,3.2857,153600,<1H OCEAN,,158385
-117.25,33.36,6,3725,960,2833,915,2.3214,247000,<1H OCEAN,,153110
-119.15,36.29,18,1435,,657,254,2.4281,72500,INLAND,,77390
-117.63,33.94,36,447,95,2886,85,4.2578,183300,INLAND,,189713.1
-118.55,34.19,18,5862,,3161,1280,3.1106,170600,<1H OCEAN,,221922.02
-117.89,33.71,16,1591,225,926,239,6.2452,266300,<1H OCEAN,,263275
-117.69,33.66,5,4246,689,1933,722,6.9501,225700,<1H OCEAN,,312875.02
-118.35,33.88,25,1459,362,1150,354,3.35,237500,<1H OCEAN,,244909
-118.09,34.16,45,2199,358,942,353,5.0393,321100,INLAND,,347634
-121.05,39.11,7,2767,423,1143,382,3.6333,170200,INLAND,,170342
-118.21,34.1,40,1684,316,795,330,5.2723,218300,<1H OCEAN,,330874.03
-119.04,36.07,17,2623,659,1912,618,1.5893,52000,INLAND,,61389
-117.3,34.15,33,1607,282,608,260,4.3438,115000,INLAND,,139952
-117.75,34.06,44,477,135,502,117,2.0156,112500,INLAND,,99942
-114.61,33.62,16,1187,261,1115,242,2.1759,61500,INLAND,,63442
-117.61,34.13,21,8416,1386,4308,1341,4.4611,164600,INLAND,,177922
-118.11,34.05,23,3436,565,1729,529,5.9941,266700,<1H OCEAN,,291987.01
-118.95,35.26,24,1341,214,667,184,4,94500,INLAND,,98992
-118.35,33.9,25,3309,902,2299,837,3.0417,237000,<1H OCEAN,,218586
-122.89,38.93,20,1214,247,504,223,2.7188,105700,<1H OCEAN,,174737
-121.89,36.6,40,626,164,337,150,2.7917,225000,<1H OCEAN,,213596
-118.31,34.26,34,1797,363,948,363,4.1339,187300,<1H OCEAN,,237110.01
-122.01,37.25,31,1574,193,551,191,10.2311,500001,<1H OCEAN,,498941.98
-118.37,34.04,43,888,170,514,161,3.1827,202800,<1H OCEAN,,262041.02
-117.19,32.76,52,1294,175,434,180,5.7914,500001,NEAR OCEAN,,341725.1
-119.71,36.8,17,2056,366,1259,367,3.9338,84700,INLAND,,91498
-117.28,34.68,28,1932,421,1156,404,1.8958,55600,INLAND,,81124
-120.84,35.32,15,2419,538,1279,522,3.4762,189600,NEAR OCEAN,,216634
-118.13,34.02,43,396,91,261,73,2.9044,172900,<1H OCEAN,,184855.02
-117.02,33.6,7,1972,352,964,317,3.244,337200,INLAND,,143006
-116.97,32.76,33,3071,466,1348,513,6.1768,228900,<1H OCEAN,,339161.03
-117.71,33.61,26,3046,726,888,663,2.6848,74100,<1H OCEAN,,126592
-121.58,39.79,19,2636,523,1184,465,2.7863,108600,INLAND,,99116
-118.24,34.15,19,4852,1465,3171,1332,2.5924,192900,<1H OCEAN,,225043
-122.68,38.44,29,2796,588,1346,562,2.9107,169700,<1H OCEAN,,180313
-118.14,33.84,43,2107,439,876,429,3.2024,339400,<1H OCEAN,,217082
-117.88,34.1,32,3357,621,1696,604,4.2685,216600,<1H OCEAN,,187859
-117.67,33.44,25,2994,519,903,410,6.6852,500001,<1H OCEAN,,305360.04
-120.47,34.64,16,1912,406,1009,417,3.4063,138000,NEAR OCEAN,,189764
-122.22,37.47,23,7740,1943,4124,1743,3.3268,322800,NEAR OCEAN,,306908.16
-122.25,37.86,52,1709,318,719,295,5.0463,456300,NEAR BAY,,307217.05
-118.11,34.06,30,1547,436,1700,410,2.5488,187500,<1H OCEAN,,178167
-122.2,39.52,39,2551,482,1181,437,2.0625,63400,INLAND,,65970
-119.9,36.58,20,1935,363,1319,359,2.4814,74600,INLAND,,70355
-118.26,33.79,42,1162,264,1044,241,3.5488,205600,<1H OCEAN,,164563
-122.51,37.53,17,1574,262,672,241,7.2929,355800,NEAR OCEAN,,378228.2
-118.37,33.93,46,442,88,255,94,4.4474,246900,<1H OCEAN,,238595
-118.31,33.99,48,2235,433,1363,433,1.6559,101400,<1H OCEAN,,111177
-117.94,33.65,15,2016,443,1015,419,5.2732,209700,<1H OCEAN,,245442
-118.46,34,44,941,230,493,206,3.6458,325800,<1H OCEAN,,347581.05
-122.33,37.95,46,1543,339,777,322,4.0927,142600,NEAR BAY,,148662
-117.67,34.05,6,2833,628,1717,589,3.2062,167500,INLAND,,131458
-118.05,33.94,34,495,120,527,130,1.9453,149000,<1H OCEAN,,148412
-118.27,33.89,32,1969,397,1349,370,4.4659,138100,<1H OCEAN,,176780
-117.16,33.57,2,20391,3245,7132,2716,3.9443,187300,<1H OCEAN,,200319.02
-118.46,34.03,27,1965,631,1042,596,2.75,327300,<1H OCEAN,,338338.04
-122.44,37.77,52,5604,1268,2023,1196,4.4085,400000,NEAR BAY,,445126.44
-122.03,37.6,24,2077,383,1488,389,4.5721,214700,NEAR BAY,,207118
-117.96,34.71,32,3511,646,1733,510,3.46,123900,INLAND,,98565
-117.83,34.01,16,9446,1650,4911,1534,5.0111,212900,<1H OCEAN,,245840
-118.62,34.2,29,2421,402,1120,388,5.0309,244800,<1H OCEAN,,242587.01
-121.45,38.62,37,1534,315,1147,322,2.5643,59800,INLAND,,88022
-122.48,37.71,39,3615,632,1571,615,5.1149,314200,NEAR OCEAN,,334469.04
-123.22,39.15,45,1348,265,639,270,3.3667,115200,<1H OCEAN,,125440
-122.11,37.39,36,1660,261,655,249,6.3967,500001,NEAR BAY,,396146.09
-117.71,33.47,17,2681,454,830,410,5.5507,345700,<1H OCEAN,,286265.08
-118.07,33.87,18,3405,556,1945,509,5.7652,299100,<1H OCEAN,,289234
-122.11,37.66,29,2544,643,2332,603,3.2091,150000,NEAR BAY,,189623
-117.93,34.04,30,1336,239,905,253,4.8854,178100,<1H OCEAN,,182336
-122.03,37.39,34,2600,650,1994,650,4.0223,250200,<1H OCEAN,,243119
-118.35,33.9,31,1547,,956,287,3.4698,225000,<1H OCEAN,,231763
-117.13,32.72,9,2436,720,1780,653,1.8299,137500,NEAR OCEAN,,130125
-121.66,36.82,17,3921,654,1895,641,5.0092,238700,<1H OCEAN,,257729
-118.13,34.05,35,3229,616,1879,595,3.9531,268400,<1H OCEAN,,251248
-118.28,34.05,41,1788,774,2931,702,1.4413,158900,<1H OCEAN,,188695
-118.17,34.1,25,4444,647,1922,652,8.058,477300,<1H OCEAN,,456537.48
-121.33,37.97,36,1953,492,999,371,2.0043,90800,INLAND,,80481
-117.23,32.74,16,1953,404,798,385,4.8167,169800,NEAR OCEAN,,243343.01
-121.29,38.6,29,1276,225,600,223,4.0938,109100,INLAND,,150838
-117.95,34.04,36,1044,200,982,205,4.7679,153900,<1H OCEAN,,168860
-121.83,36.61,26,3723,789,2563,747,3.4531,133100,<1H OCEAN,,209003.02
-119.21,34.26,26,2406,411,1313,391,4.9079,234100,NEAR OCEAN,,239468.01
-118.29,33.91,28,1501,446,1028,418,2.3043,177500,<1H OCEAN,,140624
-118.74,34.26,27,3467,545,1798,493,4.8717,204100,<1H OCEAN,,221287
-118.2,33.96,44,2144,477,1760,452,2.3221,161600,<1H OCEAN,,153838
-117.93,33.65,29,1253,375,1198,362,3.5179,225000,<1H OCEAN,,262334.03
-124.09,40.88,31,1982,495,1052,467,1.5326,74100,NEAR OCEAN,,72933
-121.39,38.56,19,8507,1470,3517,1453,4.3644,137400,INLAND,,154788
-117.33,34.13,30,2335,363,1214,311,2.2449,93200,INLAND,,83589
-118.75,34.33,27,534,85,243,77,8.2787,330000,<1H OCEAN,,449607.59
-118.1,33.93,36,1124,217,707,234,4.375,174500,<1H OCEAN,,174636
-118.49,34.25,33,2088,383,960,362,4.3333,232900,<1H OCEAN,,247972.01
-117.69,34.06,29,873,226,649,198,2.7986,114400,INLAND,,133822
-117.06,32.57,18,1384,311,1429,287,1.3362,95000,NEAR OCEAN,,110489
-118.46,34.29,24,3668,890,3151,810,3.0526,183300,<1H OCEAN,,182868
-121.74,38.55,33,6861,1820,3717,1767,1.7311,182600,INLAND,,106404
-116.89,33.73,15,2094,316,937,277,5.3623,201300,INLAND,,164395
-121.89,37.25,26,1741,323,1007,339,4.7069,234800,<1H OCEAN,,243133
-122.15,37.72,31,1616,372,739,379,2.9097,210900,NEAR BAY,,168364
-119.29,34.26,32,3295,764,1344,600,3.6007,395500,NEAR OCEAN,,258795
-118.19,33.89,38,4018,986,3702,927,2.9293,113600,<1H OCEAN,,152494
-117.66,34.06,24,4043,952,2174,859,2.2244,114900,INLAND,,132398
-118.06,33.8,20,1379,333,937,304,3.6217,195300,<1H OCEAN,,207185
-118,33.95,35,1431,210,505,213,6.8109,401000,<1H OCEAN,,368780.21
-117.95,33.84,18,3418,815,1961,773,3.65,171400,<1H OCEAN,,186580
-117.88,33.9,21,3180,434,1413,391,6.5945,277300,<1H OCEAN,,313181.06
-118.12,34.11,48,2124,319,785,319,5.2131,359600,<1H OCEAN,,340274.06
-120.99,37.69,25,2773,384,1060,381,6.4788,199400,INLAND,,266301.01
-118.37,33.91,41,1869,427,1334,435,3.9355,227800,<1H OCEAN,,254383
-121.74,36.47,28,1973,343,970,349,4.25,279100,<1H OCEAN,,233749.01
-122.19,37.48,35,7067,1646,5380,1597,4.1776,265300,NEAR BAY,,367907.34
-116.95,32.78,20,3425,448,1489,443,6.2552,296400,<1H OCEAN,,289189
-117.8,33.76,27,2655,345,1017,335,6.9014,366800,<1H OCEAN,,347873.03
-115.54,32.79,23,1712,403,1370,377,1.275,60400,INLAND,,58557
-118.43,34.17,35,2922,507,1130,485,5.451,341800,<1H OCEAN,,375649.17
-120.69,35.49,16,2666,450,1203,429,4.1375,222400,<1H OCEAN,,216069
-118.32,33.94,37,2740,504,1468,479,4.5368,168800,<1H OCEAN,,186021
-121.18,37.96,35,411,74,193,59,2.5625,146900,INLAND,,130716
-121.33,37.96,42,1619,340,906,339,2.5488,80300,INLAND,,80702
-119.95,36.96,18,1996,379,1327,356,2.6087,96000,INLAND,,73765
-118.47,34,42,1271,301,574,312,3.1304,340500,<1H OCEAN,,375535.1
-124.09,40.88,26,2683,555,1353,526,2.4321,82100,NEAR OCEAN,,90835
-117.19,33.64,12,1481,265,757,243,3.235,210700,<1H OCEAN,,179081.03
-120.64,40.41,50,1741,424,987,383,1.5066,59300,INLAND,,65178
-119.72,34.42,52,1759,387,980,402,4.0125,261000,NEAR OCEAN,,288303
-115.49,32.69,17,1960,389,1691,356,1.899,64000,INLAND,,74502
-118.1,34.11,49,3367,523,1317,495,6.706,351400,<1H OCEAN,,436663.49
-122.82,38.39,32,1437,257,752,245,4.7422,240900,<1H OCEAN,,260558
-118.34,34.12,41,3257,679,1237,638,4.2415,409600,<1H OCEAN,,473413.66
-118.29,34,44,1753,387,1165,380,2.1354,105800,<1H OCEAN,,115413
-121.44,38.73,25,1287,224,727,236,4.7396,135500,INLAND,,165700
-117.22,32.83,31,3958,727,1924,728,5.4605,190200,NEAR OCEAN,,274691.07
-122.63,38.26,7,7808,1390,3551,1392,4.6069,202300,<1H OCEAN,,223849
-118.17,34.18,38,1280,231,828,237,4.375,166700,<1H OCEAN,,221277.01
-124.17,40.79,43,2285,479,1169,482,1.9688,70500,NEAR OCEAN,,82874
-118.37,34.15,29,2630,617,1071,573,3.3669,376100,<1H OCEAN,,365692.1
-118.93,34.82,24,806,168,323,136,3.5,113900,INLAND,,115087
-122.24,37.47,35,2283,491,1148,436,4.5556,318600,NEAR OCEAN,,349509.01
-122.26,37.85,50,1120,283,697,264,2.125,140000,NEAR BAY,,144768
-118.04,33.99,36,3531,754,1613,697,3.2359,198600,<1H OCEAN,,193205
-117.92,33.92,19,2181,400,1272,337,5.1952,302100,<1H OCEAN,,242566
-116.51,33.89,21,1284,306,537,233,1.95,61000,INLAND,,88936.99
-117.94,33.84,25,4016,831,2166,774,3.1884,135400,<1H OCEAN,,194548
-122.07,38.24,15,7937,1635,4390,1567,3.5464,129800,INLAND,,160719
-118.25,33.93,42,657,147,526,132,2.5,110200,<1H OCEAN,,105000
-118.86,34.22,26,1932,280,886,289,5.0855,232200,<1H OCEAN,,253682.08
-121.47,38.72,26,1708,299,911,290,4.0227,99800,INLAND,,108709
-118.2,33.92,36,414,104,477,130,3.6719,130400,<1H OCEAN,,133038
-122.13,37.7,21,4124,1054,2162,998,2.6321,223100,NEAR BAY,,174417
-122.01,37.27,28,3825,473,1415,480,10.675,500001,<1H OCEAN,,500001
